,index,id,time,R1,R2,R3,R4,R5,R6,R7,R8,Temp,Humidity,date,class,dt,Target,time1,Datetime,unix,predicted_values
6697,6588,0,14.377793,10.5022,5.98047,5.76277,6.77004,8.21489,10.2666,4.7655,5.57846,26.8314,57.4727,04/07/15,banana,1.64,1,14:22:40,07/04/15 14:22,1428416560,1
6698,10123,0,15.369132,12.2466,7.94056,7.93171,8.97145,23.458,14.0182,6.21048,6.96207,26.777,56.8589,04/07/15,banana,1.64,1,15:22:08,07/04/15 15:22,1428420128,1
6699,7005,0,14.494653,11.4648,7.34016,7.427,8.28786,8.22616,12.095,5.12092,5.88635,26.6943,56.5104,04/07/15,banana,1.64,1,14:29:40,07/04/15 14:29,1428416980,1
6700,28,0,12.535825,12.8939,10.4313,10.4984,11.7418,13.5864,13.3844,8.04847,8.75539,26.2292,58.8849,04/07/15,banana,1.64,1,12:32:08,07/04/15 12:32,1428409928,1
6701,5068,0,13.950584,12.8544,10.3093,9.68529,10.8038,11.4321,13.322,5.17141,5.92892,26.3666,59.6621,04/07/15,banana,1.64,1,13:57:02,07/04/15 13:57,1428415022,1
6702,11647,0,15.796681,12.6677,8.88126,8.90691,10.0323,8.7174,14.5878,6.47819,7.24628,26.5247,56.8644,04/07/15,banana,1.64,1,15:47:48,07/04/15 15:47,1428421668,1
6703,9940,0,15.317287,11.9774,7.52483,7.58533,8.51669,7.74338,13.6696,6.22186,6.96928,26.7465,57.8886,04/07/15,banana,1.64,1,15:19:02,07/04/15 15:19,1428419942,1
6704,10787,0,15.555863,12.5223,8.46286,8.50939,9.58962,9.95845,14.4129,6.40515,7.15398,26.4841,57.2661,04/07/15,banana,1.64,1,15:33:21,07/04/15 15:33,1428420801,1
6705,971,0,12.800082,13.1342,10.7698,10.8401,12.1182,14.0477,13.6728,8.13362,8.84642,26.1276,58.423,04/07/15,banana,1.64,1,12:48:00,07/04/15 12:48,1428410880,1
6706,3388,0,13.478542,12.8531,10.4102,10.5105,11.7286,13.562,13.3495,8.31332,9.04991,26.3733,59.1559,04/07/15,banana,1.64,1,13:28:42,07/04/15 13:28,1428413322,1
6707,3469,0,13.501861,12.3543,9.6805,8.3221,9.0258,8.00489,10.8043,4.92644,6.01331,26.5201,60.219,04/07/15,banana,1.64,1,13:30:06,07/04/15 13:30,1428413406,1
6708,6282,0,14.291385,12.4402,10.0207,9.5605,10.6558,10.8707,13.0294,5.13091,5.96238,26.6352,59.6484,04/07/15,banana,1.64,1,14:17:28,07/04/15 14:17,1428416248,1
6709,5931,0,14.193033,12.5242,9.8801,8.80899,9.80855,9.0537,12.3749,4.73602,5.75997,26.8106,58.3909,04/07/15,banana,1.64,1,14:11:34,07/04/15 14:11,1428415894,1
6710,6668,0,14.40021,10.6067,6.16832,6.01637,6.95967,8.00738,10.3454,4.74937,5.5632,26.8111,56.8433,04/07/15,banana,1.64,1,14:24:00,07/04/15 14:24,1428416640,1
6711,8472,0,14.906136,11.9546,7.62278,7.56573,8.53841,7.75253,13.6327,5.89808,6.61482,26.7048,57.9999,04/07/15,banana,1.64,1,14:54:22,07/04/15 14:54,1428418462,1
6712,6459,0,14.341648,10.3605,5.71333,5.68021,6.5161,8.80957,10.0244,4.76756,5.59489,26.8571,57.6958,04/07/15,banana,1.64,1,14:20:29,07/04/15 14:20,1428416429,1
6713,11992,0,15.893937,12.8334,8.85185,8.87838,9.96797,14.1933,14.8094,6.63053,7.36193,26.3072,56.4192,04/07/15,banana,1.64,1,15:53:38,07/04/15 15:53,1428422018,1
6714,5420,0,14.049848,12.2339,9.50994,7.66345,9.49671,9.8995,12.5202,5.58215,6.35768,26.7247,57.9156,04/07/15,banana,1.64,1,14:02:59,07/04/15 14:02,1428415379,1
6715,8817,0,15.002842,11.9791,7.56628,7.61696,8.57234,7.88313,13.6494,6.07688,6.78888,26.737,58.171,04/07/15,banana,1.64,1,15:00:10,07/04/15 15:00,1428418810,1
6716,2201,0,13.145302,13.1919,10.6794,10.7464,12.0053,13.8755,13.724,8.28344,9.01832,26.0604,58.4779,04/07/15,banana,1.64,1,13:08:43,07/04/15 13:08,1428412123,1
6717,2356,0,13.188719,13.0981,10.6132,10.6639,11.9189,13.7615,13.635,8.29663,9.02834,26.1868,59.1204,04/07/15,banana,1.64,1,13:11:19,07/04/15 13:11,1428412279,1
6718,9271,0,15.130055,11.9527,7.62419,7.67821,8.65268,7.78649,13.6744,6.12761,6.88935,26.782,57.4952,04/07/15,banana,1.64,1,15:07:48,07/04/15 15:07,1428419268,1
6719,3931,0,13.631309,12.5365,9.77926,8.39379,8.86787,7.81717,10.292,4.5624,5.70902,26.4965,60.0387,04/07/15,banana,1.64,1,13:37:52,07/04/15 13:37,1428413872,1
6720,5815,0,14.160534,12.4926,9.62823,8.77323,9.62889,8.89004,12.2042,5.05872,6.00876,26.8264,58.5875,04/07/15,banana,1.64,1,14:09:37,07/04/15 14:09,1428415777,1
6721,180,0,12.57839,12.9889,10.5794,10.6468,11.9128,13.7967,13.5152,8.06933,8.79003,26.1301,58.9167,04/07/15,banana,1.64,1,12:34:42,07/04/15 12:34,1428410082,1
6722,9017,0,15.058876,11.816,7.33414,7.40361,8.30608,7.60124,13.4257,6.05171,6.81984,26.9486,57.4215,04/07/15,banana,1.64,1,15:03:31,07/04/15 15:03,1428419011,1
6723,9709,0,15.252711,11.9894,7.61836,7.65886,8.62114,7.85962,13.6648,6.2404,6.99374,26.7433,57.9435,04/07/15,banana,1.64,1,15:15:09,07/04/15 15:15,1428419709,1
6724,12316,0,15.985293,13.0376,9.60808,9.65789,10.8394,12.7991,13.8754,6.82096,7.53624,26.1748,57.0321,04/07/15,banana,1.64,1,15:59:07,07/04/15 15:59,1428422347,1
6725,7185,0,14.545092,11.6168,7.84745,7.89667,8.898,8.53278,12.4612,5.365,6.12124,26.7898,56.1539,04/07/15,banana,1.64,1,14:32:42,07/04/15 14:32,1428417162,1
6726,7557,0,14.64999,12.1468,8.63403,8.45713,9.63865,12.6539,13.7252,5.38672,6.20606,26.8584,56.7902,04/07/15,banana,1.64,1,14:38:59,07/04/15 14:38,1428417539,1
6727,7454,0,14.621135,12.136,8.61951,8.35048,9.57146,13.1613,13.6476,5.38343,6.20471,26.9283,56.7397,04/07/15,banana,1.64,1,14:37:16,07/04/15 14:37,1428417436,1
6728,10110,0,15.365483,12.2458,7.93338,7.92533,8.96808,23.5133,14.0158,6.21041,6.96202,26.7691,56.8667,04/07/15,banana,1.64,1,15:21:55,07/04/15 15:21,1428420115,1
6729,1391,0,12.918379,13.1789,10.6608,10.7296,11.9934,13.8703,13.704,8.20426,8.92658,26.1673,58.2253,04/07/15,banana,1.64,1,12:55:06,07/04/15 12:55,1428411306,1
6730,10353,0,15.43358,12.2669,8.01465,7.97583,8.99801,22.2543,14.0178,6.20425,6.95984,26.694,56.856,04/07/15,banana,1.64,1,15:26:00,07/04/15 15:26,1428420360,1
6731,376,0,12.633306,13.0363,10.6109,10.6755,11.9427,13.8363,13.5612,8.07753,8.79745,26.161,58.7156,04/07/15,banana,1.64,1,12:37:59,07/04/15 12:37,1428410279,1
6732,4760,0,13.864263,12.7195,10.0414,9.91286,10.7636,11.3913,13.1526,5.39615,6.16743,26.2993,60.2273,04/07/15,banana,1.64,1,13:51:51,07/04/15 13:51,1428414711,1
6733,7854,0,14.733168,12.2082,8.70728,8.68401,9.7382,11.1654,13.6957,5.41775,6.22024,26.8452,57.5879,04/07/15,banana,1.64,1,14:43:59,07/04/15 14:43,1428417839,1
6734,2399,0,13.200772,13.0648,10.5972,10.6625,11.9164,13.7696,13.6247,8.30153,9.02029,26.1297,58.6141,04/07/15,banana,1.64,1,13:12:02,07/04/15 13:12,1428412322,1
6735,565,0,12.68633,13.0916,10.6399,10.7076,11.9748,13.8719,13.596,8.08389,8.81183,26.1589,58.7741,04/07/15,banana,1.64,1,12:41:10,07/04/15 12:41,1428410470,1
6736,8869,0,15.017419,11.8795,7.40467,7.43306,8.36615,7.70285,13.5178,6.08454,6.80674,26.7247,57.6152,04/07/15,banana,1.64,1,15:01:02,07/04/15 15:01,1428418862,1
6737,2053,0,13.103847,13.284,10.7375,10.8181,12.0714,13.9753,13.8086,8.26658,8.98105,26.0048,58.5828,04/07/15,banana,1.64,1,13:06:13,07/04/15 13:06,1428411973,1
6738,4684,0,13.842971,12.6158,9.87017,9.59408,10.4859,11.0598,12.9468,5.37978,6.25294,26.3491,59.8282,04/07/15,banana,1.64,1,13:50:34,07/04/15 13:50,1428414634,1
6739,739,0,12.73509,13.1068,10.6874,10.7548,12.0207,13.9293,13.6072,8.09758,8.82878,26.2127,58.7024,04/07/15,banana,1.64,1,12:44:06,07/04/15 12:44,1428410646,1
6740,12051,0,15.910456,12.8447,8.88716,8.91346,10.0113,14.125,14.8226,6.63499,7.36259,26.3063,56.4336,04/07/15,banana,1.64,1,15:54:37,07/04/15 15:54,1428422077,1
6741,12267,0,15.971575,13.0338,9.5838,9.63034,10.8114,12.511,14.2584,6.81137,7.52641,26.1685,57.0837,04/07/15,banana,1.64,1,15:58:17,07/04/15 15:58,1428422297,1
6742,5408,0,14.04649,12.2515,9.55474,7.70521,9.52474,9.90492,12.5482,5.59805,6.3676,26.7348,58.0853,04/07/15,banana,1.64,1,14:02:47,07/04/15 14:02,1428415367,1
6743,5534,0,14.08179,12.0167,9.03581,7.2852,9.31352,9.46291,12.5606,5.49796,6.30697,26.7901,58.1531,04/07/15,banana,1.64,1,14:04:54,07/04/15 14:04,1428415494,1
6744,5238,0,13.998779,12.8482,9.90441,9.52202,10.7218,11.5858,13.5848,5.58491,6.26689,26.2947,58.7688,04/07/15,banana,1.64,1,13:59:55,07/04/15 13:59,1428415195,1
6745,10798,0,15.558945,12.5309,8.47864,8.52969,9.61065,8.88869,14.4242,6.41271,7.16219,26.4786,57.2834,04/07/15,banana,1.64,1,15:33:32,07/04/15 15:33,1428420812,1
6746,870,0,12.771794,13.111,10.7223,10.7925,12.0646,13.9757,13.6084,8.11168,8.83166,26.1899,58.4776,04/07/15,banana,1.64,1,12:46:18,07/04/15 12:46,1428410778,1
6747,1025,0,12.815223,13.1836,10.7965,10.8649,12.1414,14.0772,13.7108,8.14144,8.85169,26.1367,58.1955,04/07/15,banana,1.64,1,12:48:54,07/04/15 12:48,1428410934,1
6748,6403,0,14.32596,10.3242,5.6287,5.56135,6.41743,9.08945,9.93728,4.77735,5.61132,26.9225,57.9226,04/07/15,banana,1.64,1,14:19:33,07/04/15 14:19,1428416373,1
6749,10367,0,15.437502,12.2733,8.02392,7.9872,9.00996,22.1812,14.0261,6.20373,6.96094,26.691,56.856,04/07/15,banana,1.64,1,15:26:15,07/04/15 15:26,1428420375,1
6750,1664,0,12.994865,13.1749,10.6768,10.7459,12.0176,13.9006,13.6957,8.21462,8.92918,26.1162,58.1316,04/07/15,banana,1.64,1,12:59:41,07/04/15 12:59,1428411581,1
6751,11737,0,15.822535,12.7929,8.78379,8.84198,9.90578,11.3643,14.7483,6.61246,7.35334,26.3222,56.4167,04/07/15,banana,1.64,1,15:49:21,07/04/15 15:49,1428421761,1
6752,12497,0,16.035987,13.0377,9.57521,9.64175,10.8064,12.7737,13.9302,6.83035,7.5401,26.1728,56.9514,04/07/15,banana,1.64,1,16:02:09,07/04/15 16:02,1428422529,1
6753,10781,0,15.554183,12.5112,8.4406,8.48309,9.56179,10.8394,14.3995,6.39618,7.14607,26.4957,57.2448,04/07/15,banana,1.64,1,15:33:15,07/04/15 15:33,1428420795,1
6754,6909,0,14.467756,11.5494,7.41487,7.43453,8.41993,8.39576,12.1118,4.98005,5.75012,26.6012,57.9146,04/07/15,banana,1.64,1,14:28:03,07/04/15 14:28,1428416883,1
6755,12784,0,16.116327,13.0356,9.50807,9.5786,10.7283,12.5227,14.0493,6.85266,7.57285,26.2018,56.8065,04/07/15,banana,1.64,1,16:06:58,07/04/15 16:06,1428422818,1
6756,9190,0,15.107364,11.871,7.51248,7.54148,8.50778,7.6679,13.5508,6.105,6.86849,26.8627,57.1669,04/07/15,banana,1.64,1,15:06:26,07/04/15 15:06,1428419186,1
6757,5367,0,14.034994,12.247,9.56564,7.90139,9.69318,10.2458,12.7835,5.65771,6.40226,26.7223,58.5612,04/07/15,banana,1.64,1,14:02:05,07/04/15 14:02,1428415325,1
6758,4602,0,13.819977,12.4646,9.71346,9.52971,10.5708,11.6253,13.2924,5.32041,6.19894,26.3283,60.6676,04/07/15,banana,1.64,1,13:49:11,07/04/15 13:49,1428414551,1
6759,2949,0,13.355529,12.9873,10.5356,10.5945,11.8353,13.6766,13.5289,8.36641,9.05095,26.1653,59.5275,04/07/15,banana,1.64,1,13:21:19,07/04/15 13:21,1428412879,1
6760,7134,0,14.530804,11.4991,7.62342,7.70036,8.68434,8.45284,12.3768,5.30291,6.03685,26.6588,56.505,04/07/15,banana,1.64,1,14:31:50,07/04/15 14:31,1428417110,1
6761,5830,0,14.164738,12.5383,9.68023,8.58725,9.48924,8.51385,12.0887,4.9323,5.9344,26.776,58.9946,04/07/15,banana,1.64,1,14:09:53,07/04/15 14:09,1428415793,1
6762,5043,0,13.943567,12.795,10.241,9.30307,10.4643,10.8812,12.8362,5.08539,5.87227,26.3938,59.8111,04/07/15,banana,1.64,1,13:56:36,07/04/15 13:56,1428414996,1
6763,8861,0,15.015174,11.8844,7.40917,7.43628,8.3703,7.70938,13.524,6.08393,6.80571,26.7213,57.6651,04/07/15,banana,1.64,1,15:00:54,07/04/15 15:00,1428418854,1
6764,12478,0,16.030662,13.0381,9.58072,9.64336,10.8124,12.7817,13.9205,6.82846,7.53981,26.171,56.962,04/07/15,banana,1.64,1,16:01:50,07/04/15 16:01,1428422510,1
6765,6999,0,14.492975,11.4671,7.34172,7.42689,8.28781,8.22669,12.0956,5.1183,5.88395,26.6896,56.4825,04/07/15,banana,1.64,1,14:29:34,07/04/15 14:29,1428416974,1
6766,7501,0,14.6343,12.1464,8.62797,8.40265,9.60099,12.9325,13.6849,5.38102,6.20454,26.8856,56.7479,04/07/15,banana,1.64,1,14:38:03,07/04/15 14:38,1428417483,1
6767,11260,0,15.688367,12.5884,8.65878,8.71336,9.79606,7.8422,14.5054,6.43606,7.18724,26.4836,56.9429,04/07/15,banana,1.64,1,15:41:18,07/04/15 15:41,1428421278,1
6768,2278,0,13.16688,13.1642,10.6591,10.7159,11.9769,13.8404,13.7025,8.30375,9.04454,26.0028,58.9796,04/07/15,banana,1.64,1,13:10:00,07/04/15 13:10,1428412200,1
6769,2282,0,13.168003,13.1627,10.6593,10.7146,11.9764,13.8376,13.7028,8.30426,9.04484,26.0051,58.9858,04/07/15,banana,1.64,1,13:10:04,07/04/15 13:10,1428412204,1
6770,11008,0,15.617824,12.5389,8.53861,8.5882,9.66578,7.63801,14.4334,6.42618,7.17203,26.4692,57.1675,04/07/15,banana,1.64,1,15:37:04,07/04/15 15:37,1428421024,1
6771,3379,0,13.476018,12.8566,10.413,10.5095,11.7302,13.5615,13.3528,8.31326,9.05181,26.378,59.1128,04/07/15,banana,1.64,1,13:28:33,07/04/15 13:28,1428413313,1
6772,12714,0,16.096726,13.0386,9.55054,9.62866,10.7808,12.6831,14.0111,6.84014,7.55078,26.2067,56.8148,04/07/15,banana,1.64,1,16:05:48,07/04/15 16:05,1428422748,1
6773,2292,0,13.170797,13.1631,10.656,10.7086,11.9734,13.8312,13.7014,8.30496,9.04447,26.0082,59.0109,04/07/15,banana,1.64,1,13:10:14,07/04/15 13:10,1428412214,1
6774,1523,0,12.955362,13.1919,10.676,10.7425,12.0103,13.8874,13.7053,8.21648,8.93242,26.1247,58.224,04/07/15,banana,1.64,1,12:57:19,07/04/15 12:57,1428411439,1
6775,5605,0,14.101682,11.9791,9.13545,7.16527,9.0631,8.72655,12.3178,5.4641,6.28255,26.7662,58.0763,04/07/15,banana,1.64,1,14:06:06,07/04/15 14:06,1428415566,1
6776,4852,0,13.890034,12.7279,10.0841,9.32569,10.6269,9.63391,13.0902,5.22827,6.15053,26.4128,60.5389,04/07/15,banana,1.64,1,13:53:24,07/04/15 13:53,1428414804,1
6777,12736,0,16.102889,13.0402,9.5441,9.61985,10.7701,12.6567,14.0221,6.84244,7.55579,26.2254,56.7923,04/07/15,banana,1.64,1,16:06:10,07/04/15 16:06,1428422770,1
6778,3959,0,13.639147,12.5773,9.84695,8.27091,8.99011,7.71645,10.4334,4.5363,5.65443,26.4866,60.2699,04/07/15,banana,1.64,1,13:38:20,07/04/15 13:38,1428413900,1
6779,664,0,12.714065,13.1184,10.6844,10.7308,11.9971,13.9004,13.5983,8.08553,8.81911,26.199,58.6037,04/07/15,banana,1.64,1,12:42:50,07/04/15 12:42,1428410570,1
6780,9260,0,15.126973,11.9418,7.61103,7.66169,8.6337,7.77045,13.6581,6.12528,6.88712,26.781,57.421,04/07/15,banana,1.64,1,15:07:37,07/04/15 15:07,1428419257,1
6781,9232,0,15.11913,11.9093,7.56076,7.60651,8.57222,7.72236,13.6099,6.11718,6.88011,26.8083,57.2832,04/07/15,banana,1.64,1,15:07:08,07/04/15 15:07,1428419228,1
6782,9608,0,15.224479,12.0398,7.72939,7.7384,8.73537,7.92773,13.7599,6.23265,6.98924,26.8739,57.1194,04/07/15,banana,1.64,1,15:13:28,07/04/15 15:13,1428419608,1
6783,5592,0,14.098036,11.9795,9.12011,7.15647,9.10125,8.86237,12.3607,5.47009,6.28655,26.7718,57.9835,04/07/15,banana,1.64,1,14:05:52,07/04/15 14:05,1428415552,1
6784,5809,0,14.158859,12.4861,9.61981,8.76614,9.61658,8.90149,12.1963,5.06408,6.01257,26.8305,58.5295,04/07/15,banana,1.64,1,14:09:31,07/04/15 14:09,1428415771,1
6785,4175,0,13.70034,11.9996,8.76544,8.22585,9.66468,12.289,13.2017,5.09722,5.99399,26.4581,60.3044,04/07/15,banana,1.64,1,13:42:01,07/04/15 13:42,1428414121,1
6786,7196,0,14.548184,11.6325,7.87585,7.91466,8.918,8.53758,12.4581,5.36955,6.13118,26.7959,56.1104,04/07/15,banana,1.64,1,14:32:53,07/04/15 14:32,1428417173,1
6787,10671,0,15.522711,12.3724,8.1811,8.23211,9.23203,16.0362,14.1934,6.29538,7.04549,26.563,57.4671,04/07/15,banana,1.64,1,15:31:21,07/04/15 15:31,1428420681,1
6788,4210,0,13.710146,12.0482,8.84509,8.35006,9.77056,12.2312,13.2754,5.11747,6.01357,26.456,60.3038,04/07/15,banana,1.64,1,13:42:36,07/04/15 13:42,1428414156,1
6789,9455,0,15.181629,12.0342,7.77856,7.83104,8.81772,7.92143,13.7634,6.19828,6.9545,26.8625,57.3408,04/07/15,banana,1.64,1,15:10:53,07/04/15 15:10,1428419453,1
6790,2674,0,13.278493,13.0055,10.5586,10.6381,11.8803,13.7496,13.5768,8.36292,9.04383,26.1171,59.1627,04/07/15,banana,1.64,1,13:16:42,07/04/15 13:16,1428412602,1
